symptoms,triage_level,specialty
moderate memory loss,moderate,Neurology
chronic fatigue syndrome,moderate,Neurology
moderate tremors,moderate,Neurology
sleep disorders,moderate,Neurology
back pain radiating to leg,moderate,Orthopedics
herniated disc symptoms,moderate,Orthopedics
moderate arthritis pain,moderate,Orthopedics
osteoporosis symptoms,moderate,Orthopedics
moderate sports injury,moderate,Orthopedics
shoulder pain and stiffness,moderate,Orthopedics
moderate hip pain,moderate,Orthopedics
carpal tunnel syndrome,moderate,Orthopedics
plantar fasciitis,moderate,Orthopedics
moderate scoliosis symptoms,moderate,Orthopedics
skin infection spreading,moderate,Dermatology
moderate eczema,moderate,Dermatology
severe psoriasis,moderate,Dermatology
fungal infection skin,moderate,Dermatology
moderate acne,moderate,Dermatology
cellulitis symptoms,moderate,Dermatology
shingles rash,moderate,Dermatology
moderate hives,moderate,Dermatology
suspicious skin lesion,moderate,Dermatology
moderate rosacea,moderate,Dermatology
urinary tract infection,moderate,Urology
kidney stones symptoms,moderate,Urology
moderate kidney infection,moderate,Urology
prostate symptoms,moderate,Urology
moderate urinary retention,moderate,Urology
recurrent urinary infections,moderate,Urology
bladder infection,moderate,Urology
moderate hematuria,moderate,Urology
overactive bladder,moderate,Urology
interstitial cystitis,moderate,Urology
irregular periods,moderate,Gynecology
moderate pelvic inflammatory disease,moderate,Gynecology
ovarian cyst symptoms,moderate,Gynecology
endometriosis symptoms,moderate,Gynecology
moderate uterine fibroids,moderate,Gynecology
moderate vaginal infection,moderate,Gynecology
breast pain and lump,moderate,Gynecology
moderate hormonal imbalance,moderate,Gynecology
polycystic ovary syndrome,moderate,Gynecology
moderate menopause symptoms,moderate,Gynecology
diabetes symptoms,moderate,Endocrinology
thyroid disorder symptoms,moderate,Endocrinology
moderate hyperthyroidism,moderate,Endocrinology
moderate hypothyroidism,moderate,Endocrinology
adrenal insufficiency symptoms,moderate,Endocrinology
moderate obesity complications,moderate,Endocrinology
metabolic syndrome symptoms,moderate,Endocrinology
moderate hypoglycemia,moderate,Endocrinology
insulin resistance symptoms,moderate,Endocrinology
moderate hormonal disorder,moderate,Endocrinology
joint pain and morning stiffness,moderate,Rheumatology
moderate rheumatoid arthritis,moderate,Rheumatology
lupus symptoms,moderate,Rheumatology
moderate gout attack,moderate,Rheumatology
fibromyalgia symptoms,moderate,Rheumatology
moderate ankylosing spondylitis,moderate,Rheumatology
sjögren syndrome symptoms,moderate,Rheumatology
moderate vasculitis,moderate,Rheumatology
polymyalgia rheumatica,moderate,Rheumatology
moderate connective tissue disorder,moderate,Rheumatology
blurred vision and eye pain,moderate,Ophthalmology
moderate glaucoma,moderate,Ophthalmology
cataracts symptoms,moderate,Ophthalmology
diabetic eye disease,moderate,Ophthalmology
moderate uveitis,moderate,Ophthalmology
dry eye syndrome,moderate,Ophthalmology
moderate macular degeneration,moderate,Ophthalmology
eye infection with discharge,moderate,Ophthalmology
moderate astigmatism symptoms,moderate,Ophthalmology
moderate strabismus,moderate,Ophthalmology
depression symptoms,moderate,Psychiatry
anxiety disorder,moderate,Psychiatry
moderate panic attacks,moderate,Psychiatry
bipolar disorder symptoms,moderate,Psychiatry
moderate PTSD symptoms,moderate,Psychiatry
moderate OCD symptoms,moderate,Psychiatry
moderate phobia,moderate,Psychiatry
eating disorder symptoms,moderate,Psychiatry
moderate ADHD symptoms,moderate,Psychiatry
moderate insomnia,moderate,Psychiatry
child with persistent fever,moderate,Pediatrics
child with recurring ear infections,moderate,Pediatrics
child with asthma,moderate,Pediatrics
child with eczema,moderate,Pediatrics
child with developmental delay,moderate,Pediatrics
child with recurrent infections,moderate,Pediatrics
child with allergies,moderate,Pediatrics
child with growth problems,moderate,Pediatrics
child with behavioral issues,moderate,Pediatrics
child with moderate dehydration,moderate,Pediatrics
unexplained fatigue for weeks,moderate,General Medicine
moderate anemia symptoms,moderate,General Medicine
lymphoma symptoms,moderate,Oncology
leukemia early symptoms,moderate,Oncology
moderate cancer symptoms,moderate,Oncology
tumor symptoms,moderate,Oncology
moderate radiation side effects,moderate,Oncology
chemotherapy side effects,moderate,Oncology
cancer screening concerns,moderate,Oncology
moderate pain from cancer,moderate,Oncology
i feel chest tightness and dizzy,moderate,Cardiology
my heart beats fast sometimes,moderate,Cardiology
i have been having headaches daily,moderate,Neurology
my vision gets blurry sometimes,moderate,Ophthalmology
i have pain in my lower back,moderate,Orthopedics
my joints hurt every morning,moderate,Rheumatology
i feel very anxious lately,moderate,Psychiatry
i have trouble sleeping for weeks,moderate,Psychiatry
my stomach hurts after every meal,moderate,Gastroenterology
i have been coughing for a month,moderate,Pulmonology
i feel burning when i urinate,moderate,Urology
my skin has been breaking out badly,moderate,Dermatology
i have been losing weight without trying,moderate,Oncology
my throat has been sore for weeks,moderate,ENT
i have been feeling very sad,moderate,Psychiatry
i keep getting dizzy when i stand,moderate,Neurology
my ear hurts and i can't hear well,moderate,ENT
i have a rash that won't go away,moderate,Dermatology
i feel short of breath climbing stairs,moderate,Pulmonology
my blood sugar has been high,moderate,Endocrinology
i cannot breathe and chest hurts badly,critical,Cardiology
i am having worst headache ever,critical,Neurology
i cannot stop bleeding from cut,critical,Emergency
my child is having a seizure,critical,Pediatrics
i think i am having a stroke,critical,Neurology
i swallowed something and cannot breathe,critical,Emergency
severe allergic reaction after eating,critical,Allergy
i am coughing up a lot of blood,critical,Pulmonology
severe stomach pain and vomiting blood,critical,Gastroenterology
i fell and cannot move my leg,critical,Emergency
i have chest pain and left arm hurts,critical,Cardiology
my baby has very high fever and won't wake,critical,Pediatrics
i took too many pills accidentally,critical,Emergency
severe burn on my hand,critical,Emergency
i cannot see anything suddenly,critical,Ophthalmology
my heart is beating very irregularly,critical,Cardiology
i have severe pain in my back and cannot walk,critical,Orthopedics
i am pregnant and bleeding heavily,critical,Gynecology
i feel like i am going to pass out,critical,Emergency
severe pain in chest spreading to back,critical,Cardiology
mild headache after waking up,normal,General Medicine
slight tiredness after long day,normal,General Medicine
minor stomach gurgling,normal,Gastroenterology
mild thirst feeling,normal,General Medicine
minor eye twitching,normal,Ophthalmology
mild leg cramp at night,normal,Orthopedics
minor skin itching,normal,Dermatology
mild sneezing in morning,normal,General Medicine
minor dry cough,normal,General Medicine
mild stiff neck from sitting,normal,Orthopedics
minor hand tingling from sleeping position,normal,General Medicine
mild bloating after soda,normal,Gastroenterology
minor ear fullness feeling,normal,ENT
mild lower back stiffness,normal,Orthopedics
minor skin peeling after sunburn,normal,Dermatology
mild foot cramp,normal,Orthopedics
minor lip dryness,normal,General Medicine
mild post nasal drip,normal,ENT
minor scalp itching,normal,Dermatology
mild eye dryness,normal,Ophthalmology
minor wrist stiffness morning,normal,Orthopedics
mild burping after meals,normal,Gastroenterology
minor skin tag,normal,Dermatology
mild occasional dizziness,normal,General Medicine
minor temple headache,normal,General Medicine
mild finger numbness from cold,normal,General Medicine
minor neck stiffness from phone use,normal,Orthopedics
mild throat dryness,normal,ENT
minor eyelid twitch,normal,Ophthalmology
mild abdominal gurgling,normal,Gastroenterology
minor shoulder tension,normal,Orthopedics
mild sweating after exercise,normal,General Medicine
minor skin bump,normal,Dermatology
mild hunger pains,normal,General Medicine
minor toe pain from shoes,normal,Orthopedics
mild scalp dryness,normal,Dermatology
minor jaw tension,normal,Dentistry
mild ear popping,normal,ENT
minor heel discomfort,normal,Orthopedics
mild post meal sleepiness,normal,General Medicine
minor eye watering in wind,normal,Ophthalmology
mild knee clicking,normal,Orthopedics
minor lip cracking,normal,Dermatology
mild fingernail breaking,normal,Dermatology
minor forehead tension,normal,General Medicine
mild stomach growling,normal,Gastroenterology
minor skin redness from heat,normal,Dermatology
mild ankle stiffness,normal,Orthopedics
minor tooth sensitivity to sweets,normal,Dentistry
mild hand dryness from washing,normal,Dermatology
